date,division,admissions_observed,source
2019-09-02,Rajshahi,42,kaggle_shampabanik12
2019-09-02,Rangpur,17,kaggle_shampabanik12
2019-09-02,Sylhet,9,kaggle_shampabanik12
2019-09-03,Barishal,56,kaggle_shampabanik12
2019-09-03,Chattogram,71,kaggle_shampabanik12
2019-09-03,Dhaka,550,kaggle_shampabanik12
2019-09-03,Khulna,107,kaggle_shampabanik12
2019-09-03,Mymensingh,14,kaggle_shampabanik12
2019-09-03,Rajshahi,53,kaggle_shampabanik12
2019-09-03,Rangpur,21,kaggle_shampabanik12
2019-09-03,Sylhet,6,kaggle_shampabanik12
2019-09-04,Barishal,78,kaggle_shampabanik12
2019-09-04,Chattogram,52,kaggle_shampabanik12
2019-09-04,Dhaka,588,kaggle_shampabanik12
2019-09-04,Khulna,187,kaggle_shampabanik12
2019-09-04,Mymensingh,21,kaggle_shampabanik12
2019-09-04,Rajshahi,43,kaggle_shampabanik12
2019-09-04,Rangpur,13,kaggle_shampabanik12
2019-09-04,Sylhet,8,kaggle_shampabanik12
2019-09-05,Barishal,62,kaggle_shampabanik12
2019-09-05,Chattogram,63,kaggle_shampabanik12
2019-09-05,Dhaka,564,kaggle_shampabanik12
2019-09-05,Khulna,131,kaggle_shampabanik12
2019-09-05,Mymensingh,22,kaggle_shampabanik12
2019-09-05,Rajshahi,51,kaggle_shampabanik12
2019-09-05,Rangpur,16,kaggle_shampabanik12
2019-09-05,Sylhet,5,kaggle_shampabanik12
2019-09-06,Barishal,57,kaggle_shampabanik12
2019-09-06,Chattogram,89,kaggle_shampabanik12
2019-09-06,Dhaka,569,kaggle_shampabanik12
2019-09-06,Khulna,141,kaggle_shampabanik12
2019-09-06,Mymensingh,17,kaggle_shampabanik12
2019-09-06,Rajshahi,46,kaggle_shampabanik12
2019-09-06,Rangpur,8,kaggle_shampabanik12
2019-09-06,Sylhet,9,kaggle_shampabanik12
2019-09-07,Barishal,63,kaggle_shampabanik12
2019-09-07,Chattogram,47,kaggle_shampabanik12
2019-09-07,Dhaka,449,kaggle_shampabanik12
2019-09-07,Khulna,115,kaggle_shampabanik12
2019-09-07,Mymensingh,13,kaggle_shampabanik12
2019-09-07,Rajshahi,39,kaggle_shampabanik12
2019-09-07,Rangpur,11,kaggle_shampabanik12
2019-09-07,Sylhet,11,kaggle_shampabanik12
2019-09-08,Barishal,66,kaggle_shampabanik12
2019-09-08,Chattogram,51,kaggle_shampabanik12
2019-09-08,Dhaka,551,kaggle_shampabanik12
2019-09-08,Khulna,139,kaggle_shampabanik12
2019-09-08,Mymensingh,23,kaggle_shampabanik12
2019-09-08,Rajshahi,42,kaggle_shampabanik12
2019-09-08,Rangpur,13,kaggle_shampabanik12
2019-09-08,Sylhet,9,kaggle_shampabanik12
2019-09-09,Barishal,68,kaggle_shampabanik12
2019-09-09,Chattogram,54,kaggle_shampabanik12
2019-09-09,Dhaka,504,kaggle_shampabanik12
2019-09-09,Khulna,135,kaggle_shampabanik12
2019-09-09,Mymensingh,19,kaggle_shampabanik12
2019-09-09,Rajshahi,32,kaggle_shampabanik12
2019-09-09,Rangpur,13,kaggle_shampabanik12
2019-09-09,Sylhet,7,kaggle_shampabanik12
2019-09-10,Barishal,67,kaggle_shampabanik12
2019-09-10,Chattogram,49,kaggle_shampabanik12
2019-09-10,Dhaka,558,kaggle_shampabanik12
2019-09-10,Khulna,172,kaggle_shampabanik12
2019-09-10,Mymensingh,13,kaggle_shampabanik12
2019-09-10,Rajshahi,46,kaggle_shampabanik12
2019-09-10,Rangpur,9,kaggle_shampabanik12
2019-09-10,Sylhet,4,kaggle_shampabanik12
2019-09-11,Barishal,67,kaggle_shampabanik12
2019-09-11,Chattogram,51,kaggle_shampabanik12
2019-09-11,Dhaka,310,kaggle_shampabanik12
2019-09-11,Khulna,138,kaggle_shampabanik12
2019-09-11,Mymensingh,7,kaggle_shampabanik12
2019-09-11,Rajshahi,44,kaggle_shampabanik12
2019-09-11,Rangpur,12,kaggle_shampabanik12
2019-09-11,Sylhet,5,kaggle_shampabanik12
2019-09-12,Barishal,64,kaggle_shampabanik12
2019-09-12,Chattogram,46,kaggle_shampabanik12
2019-09-12,Dhaka,349,kaggle_shampabanik12
2019-09-12,Khulna,200,kaggle_shampabanik12
2019-09-12,Mymensingh,17,kaggle_shampabanik12
2019-09-12,Rajshahi,49,kaggle_shampabanik12
2019-09-12,Rangpur,12,kaggle_shampabanik12
2019-09-12,Sylhet,13,kaggle_shampabanik12
2019-09-13,Barishal,54,kaggle_shampabanik12
2019-09-13,Chattogram,47,kaggle_shampabanik12
2019-09-13,Dhaka,329,kaggle_shampabanik12
2019-09-13,Khulna,174,kaggle_shampabanik12
2019-09-13,Mymensingh,8,kaggle_shampabanik12
2019-09-13,Rajshahi,47,kaggle_shampabanik12
2019-09-13,Rangpur,8,kaggle_shampabanik12
2019-09-13,Sylhet,6,kaggle_shampabanik12
2019-09-14,Barishal,49,kaggle_shampabanik12
2019-09-14,Chattogram,46,kaggle_shampabanik12
2019-09-14,Dhaka,235,kaggle_shampabanik12
2019-09-14,Khulna,143,kaggle_shampabanik12
2019-09-14,Mymensingh,7,kaggle_shampabanik12
2019-09-14,Rajshahi,30,kaggle_shampabanik12
2019-09-14,Rangpur,8,kaggle_shampabanik12
2019-09-14,Sylhet,9,kaggle_shampabanik12
2019-09-15,Barishal,65,kaggle_shampabanik12
2019-09-15,Chattogram,54,kaggle_shampabanik12
2019-09-15,Dhaka,250,kaggle_shampabanik12
2019-09-15,Khulna,185,kaggle_shampabanik12
2019-09-15,Mymensingh,11,kaggle_shampabanik12
2019-09-15,Rajshahi,40,kaggle_shampabanik12
2019-09-15,Rangpur,10,kaggle_shampabanik12
2019-09-15,Sylhet,4,kaggle_shampabanik12
2019-09-16,Barishal,60,kaggle_shampabanik12
2019-09-16,Chattogram,41,kaggle_shampabanik12
2019-09-16,Dhaka,294,kaggle_shampabanik12
2019-09-16,Khulna,188,kaggle_shampabanik12
2019-09-16,Mymensingh,16,kaggle_shampabanik12
2019-09-16,Rajshahi,36,kaggle_shampabanik12
2019-09-16,Rangpur,10,kaggle_shampabanik12
2019-09-16,Sylhet,8,kaggle_shampabanik12
2019-09-17,Barishal,63,kaggle_shampabanik12
2019-09-17,Chattogram,48,kaggle_shampabanik12
2019-09-17,Dhaka,291,kaggle_shampabanik12
2019-09-17,Khulna,157,kaggle_shampabanik12
2019-09-17,Mymensingh,10,kaggle_shampabanik12
2019-09-17,Rajshahi,35,kaggle_shampabanik12
2019-09-17,Rangpur,8,kaggle_shampabanik12
2019-09-17,Sylhet,3,kaggle_shampabanik12
2019-09-18,Barishal,48,kaggle_shampabanik12
2019-09-18,Chattogram,37,kaggle_shampabanik12
2019-09-18,Dhaka,263,kaggle_shampabanik12
2019-09-18,Khulna,151,kaggle_shampabanik12
2019-09-18,Mymensingh,3,kaggle_shampabanik12
2019-09-18,Rajshahi,22,kaggle_shampabanik12
2019-09-18,Rangpur,6,kaggle_shampabanik12
2019-09-18,Sylhet,5,kaggle_shampabanik12
2019-09-19,Barishal,43,kaggle_shampabanik12
2019-09-19,Chattogram,45,kaggle_shampabanik12
2019-09-19,Dhaka,232,kaggle_shampabanik12
2019-09-19,Khulna,134,kaggle_shampabanik12
2019-09-19,Mymensingh,2,kaggle_shampabanik12
2019-09-19,Rajshahi,17,kaggle_shampabanik12
2019-09-19,Rangpur,16,kaggle_shampabanik12
2019-09-19,Sylhet,2,kaggle_shampabanik12
2019-09-20,Barishal,42,kaggle_shampabanik12
2019-09-20,Chattogram,34,kaggle_shampabanik12
2019-09-20,Dhaka,240,kaggle_shampabanik12
2019-09-20,Khulna,146,kaggle_shampabanik12
2019-09-20,Mymensingh,10,kaggle_shampabanik12
2019-09-20,Rajshahi,30,kaggle_shampabanik12
2019-09-20,Rangpur,3,kaggle_shampabanik12
2019-09-20,Sylhet,3,kaggle_shampabanik12
2019-09-21,Barishal,51,kaggle_shampabanik12
2019-09-21,Chattogram,26,kaggle_shampabanik12
2019-09-21,Dhaka,202,kaggle_shampabanik12
2019-09-21,Khulna,100,kaggle_shampabanik12
2019-09-21,Mymensingh,2,kaggle_shampabanik12
2019-09-21,Rajshahi,17,kaggle_shampabanik12
2019-09-21,Rangpur,8,kaggle_shampabanik12
2019-09-21,Sylhet,2,kaggle_shampabanik12
2019-09-22,Barishal,65,kaggle_shampabanik12
2019-09-22,Chattogram,39,kaggle_shampabanik12
2019-09-22,Dhaka,181,kaggle_shampabanik12
2019-09-22,Khulna,90,kaggle_shampabanik12
2019-09-22,Mymensingh,7,kaggle_shampabanik12
2019-09-22,Rajshahi,31,kaggle_shampabanik12
2019-09-22,Rangpur,9,kaggle_shampabanik12
2019-09-22,Sylhet,8,kaggle_shampabanik12
2019-09-23,Barishal,49,kaggle_shampabanik12
2019-09-23,Chattogram,35,kaggle_shampabanik12
2019-09-23,Dhaka,223,kaggle_shampabanik12
2019-09-23,Khulna,121,kaggle_shampabanik12
2019-09-23,Mymensingh,7,kaggle_shampabanik12
2019-09-23,Rajshahi,23,kaggle_shampabanik12
2019-09-23,Rangpur,8,kaggle_shampabanik12
2019-09-23,Sylhet,5,kaggle_shampabanik12
2019-09-24,Barishal,44,kaggle_shampabanik12
2019-09-24,Chattogram,45,kaggle_shampabanik12
2019-09-24,Dhaka,212,kaggle_shampabanik12
2019-09-24,Khulna,120,kaggle_shampabanik12
2019-09-24,Mymensingh,12,kaggle_shampabanik12
2019-09-24,Rajshahi,30,kaggle_shampabanik12
2019-09-24,Rangpur,3,kaggle_shampabanik12
2019-09-24,Sylhet,3,kaggle_shampabanik12
2019-09-25,Barishal,0,kaggle_shampabanik12
2019-09-25,Chattogram,0,kaggle_shampabanik12
2019-09-25,Dhaka,0,kaggle_shampabanik12
2019-09-25,Khulna,0,kaggle_shampabanik12
2019-09-25,Mymensingh,0,kaggle_shampabanik12
2019-09-25,Rajshahi,0,kaggle_shampabanik12
2019-09-25,Rangpur,0,kaggle_shampabanik12
2019-09-25,Sylhet,0,kaggle_shampabanik12
2019-09-26,Barishal,0,kaggle_shampabanik12
2019-09-26,Chattogram,0,kaggle_shampabanik12
2019-09-26,Dhaka,0,kaggle_shampabanik12
2019-09-26,Khulna,0,kaggle_shampabanik12
2019-09-26,Mymensingh,0,kaggle_shampabanik12
2019-09-26,Rajshahi,0,kaggle_shampabanik12
2019-09-26,Rangpur,0,kaggle_shampabanik12
2019-09-26,Sylhet,0,kaggle_shampabanik12
2019-09-27,Barishal,38,kaggle_shampabanik12
2019-09-27,Chattogram,29,kaggle_shampabanik12
2019-09-27,Dhaka,134,kaggle_shampabanik12
2019-09-27,Khulna,107,kaggle_shampabanik12
2019-09-27,Mymensingh,7,kaggle_shampabanik12
2019-09-27,Rajshahi,36,kaggle_shampabanik12
2019-09-27,Rangpur,4,kaggle_shampabanik12
2019-09-27,Sylhet,5,kaggle_shampabanik12
2019-09-28,Barishal,30,kaggle_shampabanik12
2019-09-28,Chattogram,31,kaggle_shampabanik12
2019-09-28,Dhaka,165,kaggle_shampabanik12
2019-09-28,Khulna,107,kaggle_shampabanik12
2019-09-28,Mymensingh,2,kaggle_shampabanik12
2019-09-28,Rajshahi,16,kaggle_shampabanik12
2019-09-28,Rangpur,8,kaggle_shampabanik12
2019-09-28,Sylhet,1,kaggle_shampabanik12
2019-09-29,Barishal,36,kaggle_shampabanik12
2019-09-29,Chattogram,37,kaggle_shampabanik12
2019-09-29,Dhaka,149,kaggle_shampabanik12
2019-09-29,Khulna,81,kaggle_shampabanik12
2019-09-29,Mymensingh,7,kaggle_shampabanik12
2019-09-29,Rajshahi,21,kaggle_shampabanik12
2019-09-29,Rangpur,10,kaggle_shampabanik12
2019-09-29,Sylhet,1,kaggle_shampabanik12
2019-09-30,Barishal,30,kaggle_shampabanik12
2019-09-30,Chattogram,29,kaggle_shampabanik12
2019-09-30,Dhaka,163,kaggle_shampabanik12
2019-09-30,Khulna,92,kaggle_shampabanik12
2019-09-30,Mymensingh,6,kaggle_shampabanik12
2019-09-30,Rajshahi,15,kaggle_shampabanik12
2019-09-30,Rangpur,8,kaggle_shampabanik12
2019-09-30,Sylhet,5,kaggle_shampabanik12
2019-10-01,Barishal,46,kaggle_shampabanik12
2019-10-01,Chattogram,20,kaggle_shampabanik12
2019-10-01,Dhaka,169,kaggle_shampabanik12
2019-10-01,Khulna,98,kaggle_shampabanik12
2019-10-01,Mymensingh,9,kaggle_shampabanik12
2019-10-01,Rajshahi,17,kaggle_shampabanik12
2019-10-01,Rangpur,7,kaggle_shampabanik12
2019-10-01,Sylhet,5,kaggle_shampabanik12
2019-10-02,Barishal,31,kaggle_shampabanik12
2019-10-02,Chattogram,25,kaggle_shampabanik12
2019-10-02,Dhaka,152,kaggle_shampabanik12
2019-10-02,Khulna,95,kaggle_shampabanik12
2019-10-02,Mymensingh,6,kaggle_shampabanik12
2019-10-02,Rajshahi,15,kaggle_shampabanik12
2019-10-02,Rangpur,7,kaggle_shampabanik12
2019-10-02,Sylhet,5,kaggle_shampabanik12
2019-10-03,Barishal,36,kaggle_shampabanik12
2019-10-03,Chattogram,25,kaggle_shampabanik12
2019-10-03,Dhaka,151,kaggle_shampabanik12
2019-10-03,Khulna,124,kaggle_shampabanik12
2019-10-03,Mymensingh,7,kaggle_shampabanik12
2019-10-03,Rajshahi,15,kaggle_shampabanik12
2019-10-03,Rangpur,2,kaggle_shampabanik12
2019-10-03,Sylhet,1,kaggle_shampabanik12
2019-10-04,Barishal,29,kaggle_shampabanik12
2019-10-04,Chattogram,22,kaggle_shampabanik12
2019-10-04,Dhaka,119,kaggle_shampabanik12
2019-10-04,Khulna,124,kaggle_shampabanik12
2019-10-04,Mymensingh,6,kaggle_shampabanik12
2019-10-04,Rajshahi,22,kaggle_shampabanik12
2019-10-04,Rangpur,4,kaggle_shampabanik12
2019-10-04,Sylhet,0,kaggle_shampabanik12
2019-10-05,Barishal,38,kaggle_shampabanik12
2019-10-05,Chattogram,41,kaggle_shampabanik12
2019-10-05,Dhaka,92,kaggle_shampabanik12
2019-10-05,Khulna,79,kaggle_shampabanik12
2019-10-05,Mymensingh,4,kaggle_shampabanik12
2019-10-05,Rajshahi,10,kaggle_shampabanik12
2019-10-05,Rangpur,2,kaggle_shampabanik12
2019-10-05,Sylhet,3,kaggle_shampabanik12
2019-10-06,Barishal,38,kaggle_shampabanik12
2019-10-06,Chattogram,41,kaggle_shampabanik12
2019-10-06,Dhaka,105,kaggle_shampabanik12
2019-10-06,Khulna,108,kaggle_shampabanik12
2019-10-06,Mymensingh,4,kaggle_shampabanik12
2019-10-06,Rajshahi,14,kaggle_shampabanik12
2019-10-06,Rangpur,1,kaggle_shampabanik12
2019-10-06,Sylhet,2,kaggle_shampabanik12
2019-10-07,Barishal,31,kaggle_shampabanik12
2019-10-07,Chattogram,23,kaggle_shampabanik12
2019-10-07,Dhaka,149,kaggle_shampabanik12
2019-10-07,Khulna,114,kaggle_shampabanik12
2019-10-07,Mymensingh,3,kaggle_shampabanik12
2019-10-07,Rajshahi,19,kaggle_shampabanik12
2019-10-07,Rangpur,8,kaggle_shampabanik12
2019-10-07,Sylhet,1,kaggle_shampabanik12
2019-10-08,Barishal,23,kaggle_shampabanik12
2019-10-08,Chattogram,17,kaggle_shampabanik12
2019-10-08,Dhaka,101,kaggle_shampabanik12
2019-10-08,Khulna,106,kaggle_shampabanik12
2019-10-08,Mymensingh,4,kaggle_shampabanik12
2019-10-08,Rajshahi,13,kaggle_shampabanik12
2019-10-08,Rangpur,2,kaggle_shampabanik12
2019-10-08,Sylhet,1,kaggle_shampabanik12
2019-10-09,Barishal,35,kaggle_shampabanik12
2019-10-09,Chattogram,21,kaggle_shampabanik12
2019-10-09,Dhaka,92,kaggle_shampabanik12
2019-10-09,Khulna,82,kaggle_shampabanik12
2019-10-09,Mymensingh,6,kaggle_shampabanik12
2019-10-09,Rajshahi,9,kaggle_shampabanik12
2019-10-09,Rangpur,8,kaggle_shampabanik12
2019-10-09,Sylhet,1,kaggle_shampabanik12
2019-10-10,Barishal,37,kaggle_shampabanik12
2019-10-10,Chattogram,20,kaggle_shampabanik12
2019-10-10,Dhaka,130,kaggle_shampabanik12
2019-10-10,Khulna,106,kaggle_shampabanik12
2019-10-10,Mymensingh,3,kaggle_shampabanik12
2019-10-10,Rajshahi,14,kaggle_shampabanik12
2019-10-10,Rangpur,3,kaggle_shampabanik12
2019-10-10,Sylhet,1,kaggle_shampabanik12
2019-10-11,Barishal,30,kaggle_shampabanik12
2019-10-11,Chattogram,17,kaggle_shampabanik12
2019-10-11,Dhaka,90,kaggle_shampabanik12
2019-10-11,Khulna,74,kaggle_shampabanik12
2019-10-11,Mymensingh,3,kaggle_shampabanik12
2019-10-11,Rajshahi,20,kaggle_shampabanik12
2019-10-11,Rangpur,2,kaggle_shampabanik12
2019-10-11,Sylhet,2,kaggle_shampabanik12
2019-10-12,Barishal,25,kaggle_shampabanik12
2019-10-12,Chattogram,30,kaggle_shampabanik12
2019-10-12,Dhaka,131,kaggle_shampabanik12
2019-10-12,Khulna,45,kaggle_shampabanik12
2019-10-12,Mymensingh,5,kaggle_shampabanik12
2019-10-12,Rajshahi,15,kaggle_shampabanik12
2019-10-12,Rangpur,2,kaggle_shampabanik12
2019-10-12,Sylhet,1,kaggle_shampabanik12
2019-10-13,Barishal,30,kaggle_shampabanik12
2019-10-13,Chattogram,27,kaggle_shampabanik12
2019-10-13,Dhaka,136,kaggle_shampabanik12
2019-10-13,Khulna,69,kaggle_shampabanik12
2019-10-13,Mymensingh,4,kaggle_shampabanik12
2019-10-13,Rajshahi,16,kaggle_shampabanik12
2019-10-13,Rangpur,2,kaggle_shampabanik12
2019-10-13,Sylhet,3,kaggle_shampabanik12
2019-10-14,Barishal,28,kaggle_shampabanik12
2019-10-14,Chattogram,41,kaggle_shampabanik12
2019-10-14,Dhaka,123,kaggle_shampabanik12
2019-10-14,Khulna,77,kaggle_shampabanik12
2019-10-14,Mymensingh,2,kaggle_shampabanik12
2019-10-14,Rajshahi,23,kaggle_shampabanik12
2019-10-14,Rangpur,3,kaggle_shampabanik12
2019-10-14,Sylhet,3,kaggle_shampabanik12
2019-10-15,Barishal,31,kaggle_shampabanik12
2019-10-15,Chattogram,29,kaggle_shampabanik12
2019-10-15,Dhaka,147,kaggle_shampabanik12
2019-10-15,Khulna,68,kaggle_shampabanik12
2019-10-15,Mymensingh,6,kaggle_shampabanik12
2019-10-15,Rajshahi,12,kaggle_shampabanik12
2019-10-15,Rangpur,7,kaggle_shampabanik12
2019-10-15,Sylhet,1,kaggle_shampabanik12
2019-10-16,Barishal,32,kaggle_shampabanik12
2019-10-16,Chattogram,39,kaggle_shampabanik12
2019-10-16,Dhaka,133,kaggle_shampabanik12
2019-10-16,Khulna,45,kaggle_shampabanik12
2019-10-16,Mymensingh,6,kaggle_shampabanik12
2019-10-16,Rajshahi,25,kaggle_shampabanik12
2019-10-16,Rangpur,2,kaggle_shampabanik12
2019-10-16,Sylhet,1,kaggle_shampabanik12
2019-10-17,Barishal,44,kaggle_shampabanik12
2019-10-17,Chattogram,28,kaggle_shampabanik12
2019-10-17,Dhaka,105,kaggle_shampabanik12
2019-10-17,Khulna,47,kaggle_shampabanik12
2019-10-17,Mymensingh,5,kaggle_shampabanik12
2019-10-17,Rajshahi,13,kaggle_shampabanik12
2019-10-17,Rangpur,6,kaggle_shampabanik12
2019-10-17,Sylhet,0,kaggle_shampabanik12
2019-10-18,Barishal,26,kaggle_shampabanik12
2019-10-18,Chattogram,14,kaggle_shampabanik12
2019-10-18,Dhaka,80,kaggle_shampabanik12
2019-10-18,Khulna,42,kaggle_shampabanik12
2019-10-18,Mymensingh,4,kaggle_shampabanik12
2019-10-18,Rajshahi,6,kaggle_shampabanik12
2019-10-18,Rangpur,4,kaggle_shampabanik12
2019-10-18,Sylhet,2,kaggle_shampabanik12
2019-10-19,Barishal,42,kaggle_shampabanik12
2019-10-19,Chattogram,11,kaggle_shampabanik12
2019-10-19,Dhaka,79,kaggle_shampabanik12
2019-10-19,Khulna,41,kaggle_shampabanik12
2019-10-19,Mymensingh,3,kaggle_shampabanik12
2019-10-19,Rajshahi,6,kaggle_shampabanik12
2019-10-19,Rangpur,0,kaggle_shampabanik12
2019-10-19,Sylhet,0,kaggle_shampabanik12
2019-10-20,Barishal,25,kaggle_shampabanik12
2019-10-20,Chattogram,32,kaggle_shampabanik12
2019-10-20,Dhaka,114,kaggle_shampabanik12
2019-10-20,Khulna,40,kaggle_shampabanik12
2019-10-20,Mymensingh,6,kaggle_shampabanik12
2019-10-20,Rajshahi,25,kaggle_shampabanik12
2019-10-20,Rangpur,1,kaggle_shampabanik12
2019-10-20,Sylhet,1,kaggle_shampabanik12
2019-10-21,Barishal,28,kaggle_shampabanik12
2019-10-21,Chattogram,23,kaggle_shampabanik12
2019-10-21,Dhaka,102,kaggle_shampabanik12
2019-10-21,Khulna,47,kaggle_shampabanik12
2019-10-21,Mymensingh,4,kaggle_shampabanik12
2019-10-21,Rajshahi,5,kaggle_shampabanik12
2019-10-21,Rangpur,5,kaggle_shampabanik12
2019-10-21,Sylhet,3,kaggle_shampabanik12
2019-10-22,Barishal,32,kaggle_shampabanik12
2019-10-22,Chattogram,16,kaggle_shampabanik12
2019-10-22,Dhaka,110,kaggle_shampabanik12
2019-10-22,Khulna,45,kaggle_shampabanik12
2019-10-22,Mymensingh,4,kaggle_shampabanik12
2019-10-22,Rajshahi,7,kaggle_shampabanik12
2019-10-22,Rangpur,5,kaggle_shampabanik12
2019-10-22,Sylhet,3,kaggle_shampabanik12
2019-10-23,Barishal,22,kaggle_shampabanik12
2019-10-23,Chattogram,30,kaggle_shampabanik12
2019-10-23,Dhaka,114,kaggle_shampabanik12
2019-10-23,Khulna,50,kaggle_shampabanik12
2019-10-23,Mymensingh,4,kaggle_shampabanik12
2019-10-23,Rajshahi,8,kaggle_shampabanik12
2019-10-23,Rangpur,6,kaggle_shampabanik12
2019-10-23,Sylhet,2,kaggle_shampabanik12
2019-10-24,Barishal,21,kaggle_shampabanik12
2019-10-24,Chattogram,21,kaggle_shampabanik12
2019-10-24,Dhaka,99,kaggle_shampabanik12
2019-10-24,Khulna,47,kaggle_shampabanik12
2019-10-24,Mymensingh,4,kaggle_shampabanik12
2019-10-24,Rajshahi,11,kaggle_shampabanik12
2019-10-24,Rangpur,5,kaggle_shampabanik12
2019-10-24,Sylhet,2,kaggle_shampabanik12
2019-10-25,Barishal,23,kaggle_shampabanik12
2019-10-25,Chattogram,24,kaggle_shampabanik12
2019-10-25,Dhaka,90,kaggle_shampabanik12
2019-10-25,Khulna,41,kaggle_shampabanik12
2019-10-25,Mymensingh,1,kaggle_shampabanik12
2019-10-25,Rajshahi,4,kaggle_shampabanik12
2019-10-25,Rangpur,2,kaggle_shampabanik12
2019-10-25,Sylhet,1,kaggle_shampabanik12
2019-10-26,Barishal,22,kaggle_shampabanik12
2019-10-26,Chattogram,15,kaggle_shampabanik12
2019-10-26,Dhaka,104,kaggle_shampabanik12
2019-10-26,Khulna,36,kaggle_shampabanik12
2019-10-26,Mymensingh,3,kaggle_shampabanik12
2019-10-26,Rajshahi,11,kaggle_shampabanik12
2019-10-26,Rangpur,11,kaggle_shampabanik12
2019-10-26,Sylhet,1,kaggle_shampabanik12
2019-10-27,Barishal,33,kaggle_shampabanik12
2019-10-27,Chattogram,33,kaggle_shampabanik12
2019-10-27,Dhaka,105,kaggle_shampabanik12
2019-10-27,Khulna,56,kaggle_shampabanik12
2019-10-27,Mymensingh,10,kaggle_shampabanik12
2019-10-27,Rajshahi,15,kaggle_shampabanik12
2019-10-27,Rangpur,3,kaggle_shampabanik12
2019-10-27,Sylhet,2,kaggle_shampabanik12
2019-10-28,Barishal,44,kaggle_shampabanik12
2019-10-28,Chattogram,26,kaggle_shampabanik12
2019-10-28,Dhaka,124,kaggle_shampabanik12
2019-10-28,Khulna,44,kaggle_shampabanik12
2019-10-28,Mymensingh,1,kaggle_shampabanik12
2019-10-28,Rajshahi,6,kaggle_shampabanik12
2019-10-28,Rangpur,4,kaggle_shampabanik12
2019-10-28,Sylhet,2,kaggle_shampabanik12
2019-10-29,Barishal,29,kaggle_shampabanik12
2019-10-29,Chattogram,32,kaggle_shampabanik12
2019-10-29,Dhaka,128,kaggle_shampabanik12
2019-10-29,Khulna,40,kaggle_shampabanik12
2019-10-29,Mymensingh,5,kaggle_shampabanik12
2019-10-29,Rajshahi,9,kaggle_shampabanik12
2019-10-29,Rangpur,3,kaggle_shampabanik12
2019-10-29,Sylhet,2,kaggle_shampabanik12
2019-10-30,Barishal,35,kaggle_shampabanik12
2019-10-30,Chattogram,36,kaggle_shampabanik12
2019-10-30,Dhaka,121,kaggle_shampabanik12
2019-10-30,Khulna,52,kaggle_shampabanik12
2019-10-30,Mymensingh,11,kaggle_shampabanik12
